date,type,section,item
2025-09-24,session_summary,what_we_set_up,"Supabase backend with expenses table and migrations (add_expenses, expenses_user_rls, lockdown_expenses_rls)"
2025-09-24,session_summary,what_we_set_up,"Environment config via env.json (SUPABASE_URL, SUPABASE_ANON_KEY)"
2025-09-24,session_summary,what_we_set_up,"Auth flow: AuthGate + LoginScreen; main.dart uses AuthGate; Sign out in app bar"
2025-09-24,session_summary,what_we_set_up,"ExpenseListScreen updated: hides dev DB test FAB on production"
2025-09-24,session_summary,what_we_set_up,"Local run guidance on Windows (C:/dev path or UNC pushd)"
2025-09-24,session_summary,what_we_set_up,"Deploy workflows: GitHub Pages and Cloudflare Pages; SPA routing with web/404.html"
2025-09-24,session_summary,tomorrow_quick_start,"Copy files listed in COPY_CHECKLIST.txt into Windows repo"
2025-09-24,session_summary,tomorrow_quick_start,"Run migrations in order: 20250923_add_expenses.sql, 20250923_expenses_user_rls.sql, 20250924_lockdown_expenses_rls.sql"
2025-09-24,session_summary,tomorrow_quick_start,"Run locally with: flutter run -d chrome --dart-define-from-file=env.json"
2025-09-24,session_summary,tomorrow_quick_start,"Deploy via GitHub Pages (Actions) or Cloudflare Pages (secrets + workflow)"
2025-09-24,session_summary,notes,"Rows without user_id won’t be visible after RLS lockdown; backfill if needed"
2025-09-24,session_summary,notes,"Do not commit secrets; env.json is used at build time only"
2025-09-25,session_plan,focus,"Finish live deployment (GitHub Pages or Cloudflare)"
2025-09-25,session_plan,focus,"Enable and verify Supabase Auth + RLS end-to-end"
2025-09-25,session_plan,focus,"Optional: first analytics widget; Android Studio run"
2025-09-25,session_plan,pre_flight_checklist,"env.json has SUPABASE_URL and SUPABASE_ANON_KEY"
2025-09-25,session_plan,pre_flight_checklist,"Migrations run in order (add_expenses, expenses_user_rls, lockdown)"
2025-09-25,session_plan,pre_flight_checklist,"web/404.html committed for SPA routing"
2025-09-25,session_plan,github_pages,"git add -A && git commit -m 'Deploy Pages' && git push"
2025-09-25,session_plan,github_pages,"Repo Settings → Pages → ensure GitHub Actions"
2025-09-25,session_plan,github_pages,"Open Pages URL; sign in and verify CRUD"
2025-09-25,session_plan,cloudflare_pages,"Set GitHub secrets: CLOUDFLARE_API_TOKEN, CLOUDFLARE_ACCOUNT_ID; variable: CF_PAGES_PROJECT_NAME"
2025-09-25,session_plan,cloudflare_pages,"Push to main to build and publish build/web"
2025-09-25,session_plan,cloudflare_pages,"Open Cloudflare Pages URL; sign in and verify CRUD"
2025-09-25,session_plan,auth_rls_validation,"Sign up/in from the live site"
2025-09-25,session_plan,auth_rls_validation,"Create expense; verify user_id set in Supabase"
2025-09-25,session_plan,auth_rls_validation,"Sign out; rows become hidden"
2025-09-25,session_plan,auth_rls_validation,"Backfill legacy rows’ user_id if needed"
2025-09-25,session_plan,android,"Open in Android Studio"
2025-09-25,session_plan,android,"Run args: --dart-define-from-file=env.json"
2025-09-25,session_plan,android,"Test CRUD on emulator/device"
2025-09-25,session_plan,stretch_goals,"Add bar chart on Analytics tab (spend by category)"
2025-09-25,session_plan,stretch_goals,"Receipt upload placeholder (Supabase Storage)"
2025-09-25,session_plan,stretch_goals,"Export CSV for current month"
2025-09-25,session_plan,handy_commands,"flutter pub get"
2025-09-25,session_plan,handy_commands,"flutter run -d chrome --dart-define-from-file=env.json"
2025-09-25,session_plan,handy_commands,"flutter build web --release --dart-define-from-file=env.json"
